algorithm,latency_ms,packet_loss_percent,run_number,handshake_time_ms,cpu_time_ms,memory_peak_mb,memory_delta_mb,bytes_transmitted,was_successful,error_msg
ECC-P256,0,2,39,61.0813910025172,19.9999999999998,25.60546875,0.03515625,7662,1,None
ECC-P256,0,2,40,59.7656179998012,0,25.60546875,0.03515625,7630,1,None
ECC-P256,0,2,41,69.752139999764,0,25.60546875,0.03515625,7630,1,None
ECC-P256,0,2,42,77.4144450006133,10,25.60546875,0.03515625,7598,1,None
ECC-P256,0,2,43,62.4815180017322,0,25.60546875,0.03515625,7630,1,None
ECC-P256,0,2,44,60.1972969998315,10,25.60546875,0.03515625,7662,1,None
ECC-P256,0,2,45,81.0646999998426,10.0000000000002,25.61328125,0.03515625,7630,1,None
ECC-P256,0,2,46,88.8444060001348,10,25.61328125,0.03515625,7630,1,None
ECC-P256,0,2,47,71.7564090009546,0,25.61328125,0.03515625,7630,1,None
ECC-P256,0,2,48,65.3277710007387,0,25.61328125,0.03515625,7630,1,None
ECC-P256,0,2,49,61.7274079995696,0,25.61328125,0.03515625,7630,1,None
ECC-P256,0,2,50,64.83756900343,0,25.61328125,0.03515625,7662,1,None
RSA-2048,0,2,1,65.4164560000936,0,25.61328125,0.03515625,6996,1,None
RSA-2048,0,2,2,61.1689609977475,0,25.61328125,0.03515625,7028,1,None
RSA-2048,0,2,3,60.1875049978844,9.99999999999979,25.61328125,0.03515625,6996,1,None
RSA-2048,0,2,4,1056.60917299974,0,25.61328125,0.03515625,7340,1,None
RSA-2048,0,2,5,62.1230929973535,0,25.61328125,0.03515625,6996,1,None
RSA-2048,0,2,6,62.3063560014998,0,25.62109375,0.03515625,6964,1,None
RSA-2048,0,2,7,63.4100199968088,0,25.62109375,0.03515625,7028,1,None
RSA-2048,0,2,8,1311.78575200101,10.0000000000002,25.62109375,0.03515625,7364,1,None
RSA-2048,0,2,9,62.0729660004145,10.0000000000002,25.62109375,0.03515625,7028,1,None
RSA-2048,0,2,10,279.840287003026,0,25.62109375,0.03515625,7028,1,None
RSA-2048,0,2,11,60.93053999939,10,25.62109375,0.03515625,6964,1,None
RSA-2048,0,2,12,283.45678900223,9.99999999999979,25.62109375,0.03515625,7124,1,None
RSA-2048,0,2,13,63.559466998413,0,25.62109375,0.03515625,6996,1,None
RSA-2048,0,2,14,64.8468660001527,0,25.62109375,0.03515625,6964,1,None
RSA-2048,0,2,15,1108.80579200239,10,25.625,0.03515625,7028,1,None
RSA-2048,0,2,16,264.827814000455,9.99999999999979,25.625,0.03515625,7020,1,None
RSA-2048,0,2,17,74.9876999980188,0,25.625,0.03515625,6964,1,None
RSA-2048,0,2,18,79.846576001728,10.0000000000002,25.625,0.03515625,6924,1,None
RSA-2048,0,2,19,64.4005649992323,0,25.625,0.03515625,6964,1,None
RSA-2048,0,2,20,61.5097939989937,0,25.625,0.03515625,6964,1,None
RSA-2048,0,2,21,64.032597001642,9.99999999999979,25.62890625,0.03515625,7028,1,None
RSA-2048,0,2,22,449.145216000034,9.99999999999979,25.62890625,0.03515625,7020,1,None
RSA-2048,0,2,23,65.1497539984121,0,25.62890625,0.03515625,6964,1,None
RSA-2048,0,2,24,63.4379799994349,9.99999999999979,25.62890625,0.03515625,7028,1,None
RSA-2048,0,2,25,315.159783000127,9.99999999999979,25.6328125,0.03515625,6964,1,None
RSA-2048,0,2,26,63.258391997806,0,25.6328125,0.03515625,6964,1,None
RSA-2048,0,2,27,272.185275000084,20.0000000000002,25.6328125,0.03515625,6964,1,None
RSA-2048,0,2,28,61.1768340022536,0,25.6328125,0.03515625,6964,1,None
RSA-2048,0,2,29,89.4769389997236,0,25.6328125,0.03515625,6996,1,None
RSA-2048,0,2,30,65.347184001439,9.99999999999979,25.6328125,0.03515625,6996,1,None
RSA-2048,0,2,31,64.2784410010791,0,25.6328125,0.03515625,6996,1,None
RSA-2048,0,2,32,64.8083920023055,0,25.6328125,0.03515625,6996,1,None
RSA-2048,0,2,33,67.3621490022924,0,25.6328125,0.03515625,6996,1,None
RSA-2048,0,2,34,64.4305369969516,0,25.6328125,0.03515625,7028,1,None
RSA-2048,0,2,35,283.914727999218,19.9999999999997,25.63671875,0.03515625,7092,1,None
RSA-2048,0,2,36,61.4694049982063,0,25.63671875,0.03515625,6964,1,None
RSA-2048,0,2,37,77.0143299996562,0,25.63671875,0.03515625,7028,1,None
RSA-2048,0,2,38,242.267653000454,0,25.63671875,0.03515625,7324,1,None
RSA-2048,0,2,39,63.6965480007348,0,25.63671875,0.03515625,6964,1,None
RSA-2048,0,2,40,63.9743840001756,0,25.63671875,0.03515625,6996,1,None
RSA-2048,0,2,41,1141.53393699962,9.99999999999979,25.63671875,0.03515625,6996,1,None
RSA-2048,0,2,42,311.916931001178,9.99999999999979,25.63671875,0.03515625,7028,1,None
RSA-2048,0,2,43,60.5879129980167,10,25.63671875,0.03515625,7028,1,None
RSA-2048,0,2,44,73.3531110017793,9.99999999999979,25.63671875,0.03515625,7028,1,None
RSA-2048,0,2,45,63.5515449976083,0,25.63671875,0.03515625,6964,1,None
RSA-2048,0,2,46,65.0368489987159,0,25.64453125,0.03515625,7028,1,None
RSA-2048,0,2,47,296.84749900116,19.9999999999998,25.64453125,0.03515625,6892,1,None
RSA-2048,0,2,48,75.2851959987311,9.99999999999979,25.64453125,0.03515625,6996,1,None
RSA-2048,0,2,49,73.6623070006317,0,25.64453125,0.03515625,6996,1,None
RSA-2048,0,2,50,1037.6962090013,0,25.64453125,0.03515625,6964,1,None
CRYSTALS-Kyber,0,2,1,296.456820000458,0,25.64453125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,2,61.7631479981355,0,25.64453125,0.03515625,7480,1,None
CRYSTALS-Kyber,0,2,3,61.5061219978088,0,25.64453125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,4,62.0097310020356,0,25.64453125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,5,62.8396739994059,10,25.6484375,0.03515625,7376,1,None
CRYSTALS-Kyber,0,2,6,63.856319997285,10.0000000000007,25.6484375,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,7,75.811751998117,0,25.6484375,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,8,66.4776129997335,9.99999999999979,25.6484375,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,9,71.7331230007403,0,25.6484375,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,10,64.1562740020163,9.99999999999979,25.6484375,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,11,64.089805000549,0,25.6484375,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,12,66.2339139998949,0,25.6484375,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,13,64.2998349976551,9.99999999999979,25.6484375,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,14,270.058583999344,20.0000000000007,25.6484375,0.03515625,7480,1,None
